Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
136,ROCKY79,467.687500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
137,ROCKY80,467.712500,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
138,ROCKY81,462.550000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
139,ROCKY82,462.575000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
140,ROCKY83,462.600000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
141,ROCKY84,462.625000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
142,ROCKY85,462.650000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
143,ROCKY86,462.675000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
144,ROCKY87,462.700000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
145,ROCKY88,462.725000,,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
146,ROCKY89,462.562500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
147,ROCKY90,462.587500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
148,ROCKY91,462.612500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
149,ROCKY92,462.637500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
150,ROCKY93,462.662500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
151,ROCKY94,462.687500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
152,ROCKY95,462.712500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
153,ROCKY96,467.562500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
154,ROCKY97,467.587500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
155,ROCKY98,467.612500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
156,ROCKY99,467.637500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
157,ROCKY100,467.662500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
158,ROCKY101,467.687500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
159,ROCKY102,467.712500,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
160,ROCKY103,462.550000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
161,ROCKY104,462.575000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
162,ROCKY105,462.600000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
163,ROCKY106,462.625000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
164,ROCKY107,462.650000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
165,ROCKY108,462.675000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
166,ROCKY109,462.700000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
167,ROCKY110,462.725000,,0.000000,TSQL,88.5,199.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
168,ROCKY111,462.562500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
169,ROCKY112,462.587500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
170,ROCKY113,462.612500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
171,ROCKY114,462.637500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
172,ROCKY115,462.662500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
173,ROCKY116,462.687500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
174,ROCKY117,462.712500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
175,ROCKY118,467.562500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
176,ROCKY119,467.587500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
177,ROCKY120,467.612500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
178,ROCKY121,467.637500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
179,ROCKY122,467.662500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
180,ROCKY123,467.687500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
181,ROCKY124,467.712500,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
182,ROCKY125,462.550000,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
183,ROCKY126,462.575000,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
184,ROCKY127,462.600000,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
185,ROCKY128,462.625000,,0.000000,TSQL,88.5,250.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
